Date,Open Price,High Price,Low Price,Close Price,Adjusted Close Price,Volume Traded,Exchange Name,Reported Currency
"July 01, 2002",5.24,5.54,5.24,5.41,3.97,"21,923",NSE,INR
"July 02, 2002",5.52,5.54,5.42,5.44,3.99,"61,044",NSE,INR
"July 03, 2002",5.51,5.55,5.33,5.47,4.01,"34,160",NSE,INR
"July 04, 2002",5.5,5.57,5.42,5.53,4.05,"27,892",NSE,INR
"July 05, 2002",5.56,5.66,5.47,5.59,4.1,"58,976",NSE,INR
"July 08, 2002",5.5,5.72,5.5,5.63,4.13,"48,909",NSE,INR
"July 09, 2002",5.59,5.76,5.57,5.62,4.12,"3,21,846",NSE,INR
"July 10, 2002",5.49,5.49,5.15,5.22,3.83,"1,38,434",NSE,INR
"July 11, 2002",4.98,5.21,4.98,5.19,3.8,"15,027",NSE,INR
"July 12, 2002",5.5,5.5,5.24,5.32,3.9,"24,187",NSE,INR
"July 15, 2002",5.32,5.48,5.19,5.33,3.91,"50,330",NSE,INR
"July 16, 2002",5.2,5.44,5.2,5.32,3.9,"24,928",NSE,INR
"July 17, 2002",4.7,5.14,4.62,5.04,3.7,"21,356",NSE,INR
"July 18, 2002",4.88,5.15,4.84,5.08,3.73,"27,532",NSE,INR
"July 19, 2002",5.03,5.2,5.02,5.15,3.78,"13,380",NSE,INR
"July 22, 2002",5.08,5.15,4.97,4.97,3.65,"21,665",NSE,INR
"July 23, 2002",4.82,5.08,4.82,5.06,3.71,"40,161",NSE,INR
"July 24, 2002",5.06,5.13,4.94,5.06,3.71,"34,479",NSE,INR
"July 25, 2002",5.06,5.06,4.79,4.85,3.56,"38,185",NSE,INR
"July 26, 2002",5.15,5.15,4.73,4.87,3.57,"51,760",NSE,INR
"July 29, 2002",4.22,4.25,3.9,4.25,3.12,"17,188",NSE,INR
"July 30, 2002",4.17,4.33,4.04,4.28,3.14,"66,561",NSE,INR
"July 31, 2002",4.18,4.3,4.15,4.21,3.09,"5,557",NSE,INR
"August 01, 2002",4.25,4.52,4.25,4.46,3.27,"31,134",NSE,INR
"August 02, 2002",4.07,4.61,4.07,4.5,3.3,"28,211",NSE,INR
"August 05, 2002",4.6,4.79,4.53,4.79,3.51,"18,835",NSE,INR
"August 06, 2002",4.63,4.68,4.63,4.65,3.41,"6,690",NSE,INR
"August 07, 2002",4.8,4.85,4.66,4.75,3.49,"24,825",NSE,INR
"August 08, 2002",4.79,4.79,4.61,4.65,3.41,"16,581",NSE,INR
"August 09, 2002",4.66,4.7,4.57,4.7,3.45,"32,421",NSE,INR
"August 12, 2002",4.61,4.79,4.61,4.61,3.38,"10,807",NSE,INR
"August 13, 2002",4.61,4.7,4.53,4.57,3.35,"11,321",NSE,INR
"August 14, 2002",4.57,4.64,4.53,4.54,3.33,"11,908",NSE,INR
"August 16, 2002",4.61,4.69,4.57,4.65,3.41,"7,986",NSE,INR
"August 19, 2002",4.53,4.72,4.52,4.54,3.33,"15,449",NSE,INR
"August 20, 2002",4.53,4.53,4.38,4.43,3.25,"17,239",NSE,INR
"August 21, 2002",4.53,4.61,4.44,4.44,3.26,"27,326",NSE,INR
"August 22, 2002",4.44,4.44,4.35,4.44,3.25,"6,175",NSE,INR
"August 23, 2002",4.46,4.48,4.46,4.48,3.29,"20,842",NSE,INR
"August 26, 2002",4.44,4.44,4.18,4.44,3.25,"5,043",NSE,INR
"August 27, 2002",4.48,4.51,4.44,4.44,3.25,"10,817",NSE,INR
"August 28, 2002",4.37,4.56,4.37,4.41,3.23,"3,087",NSE,INR
"August 29, 2002",4.4,4.46,4.35,4.35,3.19,"4,888",NSE,INR
"August 30, 2002",4.4,4.57,4.39,4.53,3.32,"13,894",NSE,INR
"September 02, 2002",4.37,4.37,4.35,4.35,3.19,"6,947",NSE,INR
"September 03, 2002",4.39,4.4,4.37,4.37,3.21,"9,263",NSE,INR
"September 04, 2002",4.39,4.44,4.38,4.44,3.25,"20,173",NSE,INR
"September 05, 2002",4.44,4.47,4.44,4.47,3.28,"1,893",NSE,INR
"September 06, 2002",4.35,4.53,4.35,4.44,3.25,"11,836",NSE,INR
"September 09, 2002",4.36,4.41,4.35,4.4,3.23,"4,117",NSE,INR
