fiscalDateEnding,totalAssets,totalCurrentLiabilities,totalShareholderEquity,totalLiabilities,inventory,totalCurrentAssets,reportedCurrency,netIncome,totalRevenue,ebit,costofGoodsAndServicesSold,operatingExpenses,interestExpense,ebitda,changeInInventory,operatingCashflow,companyName
2021-12-31,1188140000000.0,74487000000.0,105441000000.0,1081542000000.0,-648045000000.0,141557000000.0,USD,15034000000,61121000000.0,20948000000,4707000000.0,18219000000,1366000000.0,25164000000.0,7836000000.0,33971000000,MS
2020-12-31,1115862000000.0,58318000000.0,101781000000.0,1012713000000.0,-648458000000.0,118467000000.0,USD,10996000000,52606000000.0,18084000000,6778000000.0,15009000000,3849000000.0,21853000000.0,-31623000000.0,-25231000000,MS
2018-12-31,853531000000.0,61667000000.0,80246000000.0,772125000000.0,-52786000000.0,102960000000.0,USD,8748000000,50193000000.0,21184000000,12479000000.0,28438000000,10086000000.0,23028000000.0,-20929000000.0,7305000000,MS
2017-12-31,851733000000.0,70016000000.0,77391000000.0,773267000000.0,374508000000.0,91568000000.0,USD,6111000000,43642000000.0,15976000000,7790000000.0,28047000000,5697000000.0,17729000000.0,19493000000.0,-4505000000,MS
2016-12-31,814949000000.0,16785000000.0,76050000000.0,737772000000.0,341053000000.0,55925000000.0,USD,5979000000,37949000000.0,12023000000,5238000000.0,26426000000,3318000000.0,13759000000.0,3638000000.0,5383000000,MS
2015-12-31,787465000000.0,22529000000.0,75182000000.0,711281000000.0,313463000000.0,67283000000.0,USD,6127000000,37897000000.0,11069000000,4634000000.0,26728000000,2742000000.0,12502000000.0,-37626000000.0,-4463000000,MS
2014-12-31,801510000000.0,27480000000.0,70900000000.0,729406000000.0,335575000000.0,56442000000.0,USD,3467000000,34275000000.0,7055000000,25694000000.0,27460000000,3678000000.0,8216000000.0,-40850000000.0,-32275000000,MS
2013-12-31,832702000000.0,35234000000.0,65921000000.0,763672000000.0,340503000000.0,66212000000.0,USD,2932000000,32493000000.0,8265000000,25333000000.0,30669000000,4431000000.0,9776000000.0,39284000000.0,35553000000,MS
2012-12-31,780960000000.0,39230000000.0,62109000000.0,711223000000.0,307472000000.0,52033000000.0,USD,68000000,26178000000.0,5804000000,181000000.0,31654000000,5897000000.0,7385000000.0,16663000000.0,24548000000,MS
2011-12-31,749898000000.0,33635000000.0,62049000000.0,679820000000.0,305848000000.0,47426000000.0,USD,4110000000,32227000000.0,12407000000,1777000000.0,32160000000,6883000000.0,13811000000.0,-24700000000.0,15892000000,MS
2010-12-31,807698000000.0,32350000000.0,57211000000.0,742291000000.0,336395000000.0,47615000000.0,USD,4703000000,31230000000.0,11853000000,1973000000.0,32056000000,6407000000.0,13272000000.0,-14379000000.0,40614000000,MS
2009-12-31,771462000000.0,28624000000.0,46688000000.0,718682000000.0,7259000000.0,31991000000.0,USD,1346000000,23280000000.0,7736000000,1681000000.0,28925000000,6687000000.0,8960000000.0,46689000000.0,-45951000000,MS
2017-12-31,2533600000000.0,75116000000.0,255693000000.0,2277907000000.0,265000000.0,433472000000.0,USD,24441000000,100705000000.0,49774000000,19565000000.0,53745000000,13874000000.0,-1194000000.0,4318000000.0,-10827000000,JPMC
2016-12-31,2490972000000.0,186076000000.0,254190000000.0,2236782000000.0,349000000.0,392263000000.0,USD,24733000000,96569000000.0,44354000000,15179000000.0,51317000000,9818000000.0,-1582000000.0,-4517000000.0,21884000000,JPMC
2015-12-31,2351698000000.0,170453000000.0,247573000000.0,2104125000000.0,325000000.0,360505000000.0,USD,24442000000,93543000000.0,38165000000,11290000000.0,51025000000,7463000000.0,-4247000000.0,-3701000000.0,73466000000,JPMC
2014-12-31,2572274000000.0,266372000000.0,231727000000.0,2340547000000.0,7776000000.0,512308000000.0,USD,21745000000,95112000000.0,38596000000,11036000000.0,52380000000,7897000000.0,38976000000.0,-9166000000.0,36593000000,JPMC
2013-12-31,2414879000000.0,271976000000.0,211178000000.0,2204511000000.0,12981000000.0,355822000000.0,USD,17886000000,97367000000.0,36025000000,9902000000.0,52075000000,9350000000.0,36662000000.0,526000000.0,107953000000,JPMC
2012-12-31,2359141000000.0,321145000000.0,204069000000.0,2155072000000.0,5181000000.0,175537000000.0,USD,21284000000,97031000000.0,39960000000,14538000000.0,54171000000,11043000000.0,40917000000.0,-4683000000.0,25079000000,JPMC
2011-12-31,2265792000000.0,263634000000.0,183573000000.0,2082219000000.0,3651000000.0,144881000000.0,USD,18976000000,97234000000.0,40353000000,21178000000.0,50375000000,13604000000.0,41201000000.0,-15456000000.0,95932000000,JPMC
2010-12-31,2117605000000.0,308677000000.0,176106000000.0,1941499000000.0,7135000000.0,49240000000.0,USD,17370000000,102694000000.0,37640000000,29420000000.0,43823000000,12781000000.0,38576000000.0,-12452000000.0,-3752000000,JPMC
2017-12-31,131310000000.0,57883000000.0,27709000000.0,103601000000.0,16047000000.0,60197000000.0,USD,3033000000,177265000000.0,4650000000,111934000000.0,14949000000,848000000.0,5016000000.0,3583000000.0,18365000000,AMZN
2015-12-31,64747000000.0,33887000000.0,13384000000.0,51363000000.0,10243000000.0,35705000000.0,USD,596000000,106332000000.0,2005000000,71651000000.0,12288000000,459000000.0,8286000000.0,2187000000.0,12039000000,AMZN
2014-12-31,54505000000.0,28089000000.0,10741000000.0,43764000000.0,8299000000.0,31327000000.0,USD,-241000000,88680000000.0,136000000,62752000000.0,9956000000,210000000.0,4882000000.0,1193000000.0,6842000000,AMZN
2013-12-31,40159000000.0,22980000000.0,9746000000.0,30413000000.0,7411000000.0,24625000000.0,USD,274000000,74227000000.0,576000000,54181000000.0,7211000000,141000000.0,3829000000.0,1410000000.0,5475000000,AMZN
