Date,Symbol,Security Name,Client Name,Buy / Sell,Quantity Traded,Reported Currency,Exchange Name,Trade Price
"January 01, 2024",3IINFOLTD,3i Infotech Limited,***********************AL LLP,0,"14,17,288",USD,NSE,0.62
"January 01, 2024",3IINFOLTD,3i Infotech Limited,***********************AL LLP,1,"14,17,288",USD,NSE,0.62
"January 01, 2024",AHLADA,Ahlada Engineers Limited,************* LLP,0,"1,34,100",USD,NSE,1.8
"January 01, 2024",AHLADA,Ahlada Engineers Limited,************* LLP,1,"1,34,100",USD,NSE,1.8
"January 01, 2024",AKASH,Akash Infra-Projects Ltd,*******************USINH,0,"1,23,693",USD,NSE,0.48
"January 01, 2024",AKSHAR,Akshar Spintex Limited,*********************IMITED,0,"16,00,000",USD,NSE,0.05
"January 01, 2024",AKSHAR,Akshar Spintex Limited,***************INGH,1,"25,86,000",USD,NSE,0.05
"January 01, 2024",BAJEL,Bajel Projects Limited,***********************************TE UMITED,1,"7,21,714",USD,NSE,1.52
"January 01, 2024",BAJEL,Bajel Projects Limited,****************************** PVT LTD,0,"7,00,019",USD,NSE,1.51
"January 01, 2024",BAJEL,Bajel Projects Limited,****************************** PVT LTD,1,10,USD,NSE,1.51
"January 01, 2024",BANKA,Banka BioLoo Limited,***************************A REDDY,0,"1,22,725",USD,NSE,1.35
"January 01, 2024",BANKA,Banka BioLoo Limited,***************************A REDDY,1,"1,22,725",USD,NSE,1.33
"January 01, 2024",BIRLAMONEY,Aditya Birla Money Ltd,***********************AL LLP,0,"7,92,326",USD,NSE,1.39
"January 01, 2024",BIRLAMONEY,Aditya Birla Money Ltd,***********************AL LLP,1,"7,92,326",USD,NSE,1.39
"January 01, 2024",BIRLAMONEY,Aditya Birla Money Ltd,****************RIYA,0,"3,42,437",USD,NSE,1.4
"January 01, 2024",BIRLAMONEY,Aditya Birla Money Ltd,****************RIYA,1,"3,51,118",USD,NSE,1.4
"January 01, 2024",DCBBANK,Dcb Bank Limited,***********************AL LLP,0,"18,88,361",USD,NSE,1.71
"January 01, 2024",DCBBANK,Dcb Bank Limited,***********************AL LLP,1,"18,88,361",USD,NSE,1.71
"January 01, 2024",DELTACORP,Delta Corp Limited,****************ITED,0,"13,02,607",USD,NSE,1.82
"January 01, 2024",DELTACORP,Delta Corp Limited,****************ITED,1,"13,46,258",USD,NSE,1.82
"January 01, 2024",DREDGECORP,Dredging Corporation of I,***********************AL LLP,0,"1,62,474",USD,NSE,7.46
"January 01, 2024",DREDGECORP,Dredging Corporation of I,***********************AL LLP,1,"1,62,474",USD,NSE,7.46
"January 01, 2024",EFORCE,Electro Force (India) Ltd,****************************** PVT LTD,1,"1,38,000",USD,NSE,1.46
"January 01, 2024",GANGAFORGE,Ganga Forging Limited,****************AKKAR,1,"7,44,968",USD,NSE,0.08
"January 01, 2024",GODHA,Godha Cabcon Insulat Ltd,**************SHAH,1,"50,00,000",USD,NSE,0.01
"January 01, 2024",GODHA,Godha Cabcon Insulat Ltd,***************************************TE LIMITED,1,"50,00,000",USD,NSE,0.01
"January 01, 2024",GOKUL,Gokul Refoils and Solvent,***********************AL LLP,0,"9,69,276",USD,NSE,0.73
"January 01, 2024",GOKUL,Gokul Refoils and Solvent,***********************AL LLP,1,"9,69,276",USD,NSE,0.73
"January 01, 2024",GSFC,Gujarat State Fert Ltd.,***********************AL LLP,0,"36,44,290",USD,NSE,3.19
"January 01, 2024",GSFC,Gujarat State Fert Ltd.,***********************AL LLP,1,"36,44,290",USD,NSE,3.19
"January 01, 2024",GTL,GTL Limited,************************************LIMITED  .,0,"9,62,000",USD,NSE,0.13
